time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2014-07-19T22:21:54.330Z,9.8498,124.156,10,4.6,mb,,49,3.1,0.94,us,usb000run2,2022-07-26T19:56:56.598Z,"1 km WNW of Nueva Fuerza, Philippines",earthquake,,1.8,0.062,82,reviewed,us,us
2014-07-11T05:22:06.080Z,10.0835,124.137,10,4.4,mb,,134,3.316,1.1,us,usb000rtmb,2014-10-10T08:02:12.000Z,"7 km SSW of Jetafe, Philippines",earthquake,,1.9,0.162,11,reviewed,us,us
2014-06-17T05:42:47.230Z,9.8081,124.4801,103.39,4.1,mb,,135,2.929,1.24,us,usc000rmuh,2014-09-12T15:48:07.000Z,"1 km ENE of Biabas, Philippines",earthquake,,9.3,0.52,4,reviewed,us,us
2014-05-10T12:52:04.090Z,9.9574,124.0633,10,4.4,mb,,146,3.237,0.8,us,usb000qk4u,2014-08-06T00:55:29.000Z,"2 km SE of Nahawan, Philippines",earthquake,,1.9,0.134,16,reviewed,us,us
2014-05-03T09:52:53.620Z,9.8658,124.2604,10,4.4,mb,,122,3.069,0.72,us,usb000r0vg,2014-07-27T21:51:18.000Z,"4 km SSW of Dagohoy, Philippines",earthquake,,1.9,0.179,10,reviewed,us,us
2014-04-25T06:58:57.930Z,9.9991,124.0129,10,4.6,mb,,89,3.297,1,us,usb000pz1q,2022-07-26T13:44:13.472Z,"4 km NNW of Clarin, Philippines",earthquake,,1.8,0.096,36,reviewed,us,us
2014-04-23T13:15:51.070Z,9.9257,124.3956,73.59,4.3,mb,,141,23.727,0.32,us,usb000qqsw,2014-07-14T20:11:11.000Z,"4 km SW of San Pascual, Philippines",earthquake,,11.3,0.178,9,reviewed,us,us
2014-02-21T02:24:44.300Z,9.7747,124.3464,89.16,4.5,mb,,130,2.951,0.52,us,usb000n1ga,2014-05-07T00:03:05.000Z,"2 km NNW of Mayana, Philippines",earthquake,,8.7,0.181,12,reviewed,us,us
2014-02-14T21:04:13.610Z,9.8166,124.3147,10,4.5,mb,,117,3.002,0.54,us,usb000my52,2014-04-30T21:18:20.000Z,"1 km SW of Pilar, Philippines",earthquake,,1.9,0.145,14,reviewed,us,us
2013-12-03T04:24:54.220Z,9.6124,123.691,10,4.3,mb,,137,19.249,0.67,us,usb000lcpd,2014-02-15T01:32:07.000Z,"5 km WNW of Doljo, Philippines",earthquake,,1.9,0.201,,reviewed,us,us
2013-11-30T12:44:58.940Z,9.9622,124.0399,10,4.6,mb,,49,3.252,0.59,us,usb000lbcf,2022-07-26T04:15:57.511Z,"1 km SW of Nahawan, Philippines",earthquake,,1.8,0.084,,reviewed,us,us
2013-11-26T06:15:57.160Z,9.5715,124.0279,10.01,4.7,mb,,147,2.921,0.96,us,usb000l858,2014-02-12T01:08:33.000Z,"7 km S of Loboc, Philippines",earthquake,,4.5,0.274,,reviewed,us,us
2013-11-20T15:41:25.320Z,10.1317,124.3129,10,4.8,mb,,99,8.986,1.09,us,usb000l6sq,2014-02-11T02:18:52.000Z,"2 km SW of Talibon, Philippines",earthquake,,1.8,0.154,,reviewed,us,us
2013-11-17T11:29:09.570Z,9.7606,123.7706,10,4.4,mb,,156,3.216,0.97,us,usb000l4ds,2022-07-26T02:46:36.862Z,"4 km SSW of Loon, Philippines",earthquake,,1.9,0.149,,reviewed,us,us
